lat_dd,long_dd,location,source
43.3235,-72.0411,Newbury,edi.498.1
43.3436,-72.0595,StateBeach,edi.395.2
43.3446,-72.0438,SouthOfTheFells,edi.498.1
43.3857,-72.0812,harbor,edi.499.3
43.3913,-72.0576,loon,edi.499.3
43.3913,-72.0576,loon,edi.500.2
43.3948,-72.079,NorthSunapeeHarbor,edi.498.1
43.4096,-72.0365,HerrickCoveSouth,edi.498.1
43.4096,-72.033,HerrickCove,edi.395.2
43.4288,-72.0675,GeorgesMills,edi.395.2
