"","collection","filter","month","variable","All missions","LS 5","LS 7","LS 8"
"1","1","none","All data","n_obs",125,25,62,38
"2","2","cloud","All data","n_obs",121,21,68,32
"3","2","freeze","All data","n_obs",151,29,83,39
"4","2","IQR","All data","n_obs",146,28,81,37
"5","2","none","All data","n_obs",157,29,86,42
"6","2","range","All data","n_obs",68,13,29,26
"7","1","none","All data","mae",0.94,1.1,0.81,1.05
"8","2","cloud","All data","mae",0.68,0.58,0.72,0.66
"9","2","freeze","All data","mae",0.85,1.07,0.84,0.71
"10","2","IQR","All data","mae",0.78,0.87,0.82,0.63
"11","2","none","All data","mae",0.86,1.08,0.85,0.72
"12","2","range","All data","mae",0.58,0.75,0.56,0.53
"13","1","none","All data","rmse",1.31,1.48,1.19,1.38
"14","2","cloud","All data","rmse",1.03,0.77,1.16,0.88
"15","2","freeze","All data","rmse",1.44,1.85,1.42,1.05
"16","2","IQR","All data","rmse",1.34,1.53,1.43,0.92
"17","2","none","All data","rmse",1.42,1.85,1.41,1.05
"18","2","range","All data","rmse",0.9,1,0.89,0.86
"19","1","none","All data","mse",1.72,2.18,1.41,1.9
"20","2","cloud","All data","mse",1.07,0.6,1.35,0.77
"21","2","freeze","All data","mse",2.06,3.44,2.03,1.1
"22","2","IQR","All data","mse",1.8,2.35,2.05,0.85
"23","2","none","All data","mse",2.02,3.44,1.99,1.11
"24","2","range","All data","mse",0.81,1.01,0.79,0.74
"25","1","none","All data","bias",0,-0.17,0.09,-0.04
"26","2","cloud","All data","bias",0,0.01,-0.02,0.04
"27","2","freeze","All data","bias",0,-0.2,0.05,0.04
"28","2","IQR","All data","bias",0,-0.08,-0.02,0.09
"29","2","none","All data","bias",0,-0.18,0.07,-0.02
"30","2","range","All data","bias",0,0,-0.05,0.05
"31","1","none","05","n_obs",16,3,9,4
"32","2","cloud","05","n_obs",14,1,11,2
"33","2","freeze","05","n_obs",15,2,11,2
"34","2","IQR","05","n_obs",13,2,9,2
"35","2","none","05","n_obs",16,2,11,3
"36","1","none","05","mae",1.48,1.53,1.46,1.48
"37","2","cloud","05","mae",1.1,0.62,1.05,1.64
"38","2","freeze","05","mae",1.45,1.64,1.31,2.04
"39","2","IQR","05","mae",1.44,1.54,1.3,1.95
"40","2","none","05","mae",1.4,1.69,1.34,1.43
"41","1","none","05","rmse",1.7,1.57,1.67,1.85
"42","2","cloud","05","rmse",1.29,0.62,1.26,1.67
"43","2","freeze","05","rmse",1.63,1.71,1.53,2.06
"44","2","IQR","05","rmse",1.63,1.62,1.54,1.97
"45","2","none","05","rmse",1.62,1.75,1.57,1.72
"46","1","none","05","bias",1.42,1.53,1.46,1.23
"47","2","cloud","05","bias",0.61,0.62,0.42,1.64
