system:index,cloud_cover,l_exceltime,pixel_count,temp_max,temp_mean,temp_median,temp_min,temp_p25,temp_p75,temp_skew,temp_stdDev,vapor_source,.geo
1_1_2_1_LT05_013030_19850901,5.0,31291.6266353125,17167,25.15253161999999,18.56075495165672,18.643325199555246,16.081106540000007,18.13535413541611,19.149701811739945,-0.5821343982414386,0.7335465529306439,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850917,6.0,31307.626485729168,17159,23.057285360000037,17.74890783400151,17.794350317418942,15.934131680000007,17.65513012936237,17.802502335609663,1.5737485518296872,0.5521396592687166,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19851120,36.0,31371.625920659724,14742,16.904849360000014,8.779091956477625,8.725848144625132,7.272869000000014,8.131729589289375,8.856184854966012,2.226080087446676,1.1664042659922536,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860515,41.0,31547.623305428242,17167,24.09978146000003,11.392647861270293,11.186278097801399,5.204966900000045,10.18584245207308,12.327420020839835,1.010713118306645,1.7604583434600318,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860616,18.0,31579.622642476854,6005,10.222620259999985,-32.14805259511561,-32.16729362802075,-60.69787671999998,-41.43312975057745,-23.072659166445757,0.08625483639815233,11.595117100388041,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860718,28.0,31611.621902997686,10452,32.62090532000002,20.50055988851608,20.726047144037437,17.28766760000002,19.308954341732107,21.569791871103995,0.6086192034698718,1.401124434770564,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19861022,4.0,31707.61961,17077,13.73292680000003,8.867389603625856,8.755334015061422,6.223536860000024,8.620701205304341,9.243070988379683,0.07582104369804414,0.8909187969945851,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19861123,72.0,31739.61879398148,6152,2.55941942000004,-1.4415256878649536,-1.0295557874184211,-6.026646819999996,-2.747616266317663,0.18050122165339427,-0.4307179317519856,1.9700180416435222,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870502,17.0,31899.622471620372,17167,20.442500060000043,7.514084466342295,7.2753553244794045,6.141504380000015,6.709673131596433,7.836660610440311,2.415563681275278,1.6183405107523863,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_LT04_013030_19870526,38.0,31923.619376226852,17153,33.314763380000045,20.412140282009464,20.010460590667968,18.381434000000013,19.46944304574643,21.088405308968824,1.2204404579589645,1.3846285926717277,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870619,19.0,31947.62330172454,17167,35.49204212000001,20.749472299010158,20.952628002933388,16.228081400000008,20.18298078861783,21.57157587579465,0.661385161596752,1.77281653023344,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870806,17.0,31995.624085983796,17167,29.879653280000014,21.20923979914076,21.253761387827886,20.02550162,21.061304669393557,21.253761387827886,2.503095695050876,0.5088244937448508,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19871009,9.0,32059.625176574074,17167,12.974126360000014,11.286238951860847,11.391988357981967,8.024833400000034,11.245594646222628,11.391988357981967,-1.6266798720351154,0.5764135082021693,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19871025,34.0,32075.62535079861,15445,12.909183980000023,10.183397376713419,10.260983493167279,7.1429842400000325,10.121420137025051,10.672506030383355,-0.6174984033087599,0.5158784880776557,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880605,26.0,32299.627368541667,17167,27.81858722000004,16.735671584147113,16.679918341410197,14.55325160000001,15.887307982631729,17.337041426567346,1.7970590868660208,1.4423284901468985,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880621,12.0,32315.627430590277,16913,22.828278020000027,13.858784055679473,13.738198236402908,10.28072659999998,13.335437363773925,14.669301037921532,0.4962510015345723,1.2687133903605468,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880707,13.0,32331.627477523147,17157,31.52030288000003,21.67443424529233,21.7986380995036,19.372659800000008,20.94500721444246,21.942013072951195,1.6809018825705013,1.1118360988576945,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880723,32.0,32347.627514131942,8176,28.170643280000036,19.257814592886536,19.463480707741738,8.58880670000002,17.95232457162576,21.532124546392634,-0.8709863586629591,2.808911775165193,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880808,29.0,32363.627508090278,6908,35.79624590000003,26.43036925651403,26.541488480809196,24.106617500000027,25.84145576531824,26.65720824048987,0.5468437746767784,0.6814692421879872,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880909,38.0,32395.627551331017,16970,23.46061172000003,17.77365313903974,17.682824920925036,4.500854780000054,17.539497124907314,18.1596157918913,-2.9181408746300552,0.6793045312001098,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
