system:index,azimuth,cloud_cover,elev,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_count,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,sza,.geo
1_1_2_1_LT05_013030_19840610,123.40299391,1.0,59.97380875,1.0153706,30843.625778055553,4.55727667224E11,1.0,17165,18205,36.81823387999998,22.737935579259545,22.47691381361151,19.15390652000002,21.71703309565975,23.32134573677108,1.6037972908734206,1.9802422758575198,30.026191249999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19840930,148.25109242,2.0,38.88607488,1.001191,30955.627091145834,4.65404580675E11,0.9482085639382465,16276,17185,18.699309860000028,15.278572611189073,15.218722841867345,11.353984879999985,15.069465245612198,15.609758684104063,-0.2678089309421573,0.43028845563028345,51.11392512,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19841016,152.29110037,1.0,33.64286919,0.99661,30971.627061446758,4.66786978109E11,1.0,17165,18205,19.047947900000054,13.420926447101523,13.397974994746505,12.22557998000002,13.254403999999479,13.397974994746505,2.3453706499512044,0.7195484623157637,56.35713081,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850901,138.26796797,5.0,47.82221671,1.0090483,31291.6266353125,4.94434941291E11,1.0,17165,18205,24.15105176000003,18.5615477026242,18.643526204442388,16.081106540000007,18.13550212409034,19.149877797304047,-0.6044133143337692,0.7344432813990779,42.17778329,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850917,143.90113999,6.0,43.06969196,1.0049189,31307.626485729168,4.95817328367E11,0.9996504515001456,17159,18197,23.057285360000037,17.7536238474546,17.79662458510419,15.934131680000007,17.65518586339591,17.79662458510419,1.6567750536686416,0.560126891791786,46.93030804,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19851120,155.80005918,36.0,23.4112888,0.9879325,31371.625920659724,5.01346879545E11,0.8552869210602971,14681,15483,16.839906980000023,8.79299812610521,8.725848450893718,7.272869000000014,8.131729589289375,8.856184715597722,2.2051722589624427,1.1913566485493623,66.5887112,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860515,128.12862104,41.0,56.60322024,1.0109716,31547.623305428242,5.16553053589E11,1.0,17165,18205,21.45081596,11.417292914882726,11.187820648977116,5.204966900000045,10.18627732714167,12.32708130021519,1.0510866866034347,1.800107950235186,33.39677976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860616,120.95460218,18.0,59.22855633,1.0159089,31579.622642476854,5.1931779631E11,0.3466938537722109,5951,6302,8.359799360000011,-32.09015026856554,-32.16747661389421,-60.69787671999998,-41.43255603210526,-23.09240556727108,0.08813543240846891,11.611672148183862,30.771443669999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860718,121.80262911,28.0,56.47480656,1.0162754,31611.621902997686,5.22082532419E11,0.6084474220798136,10444,11263,29.927505559999986,20.518210805296953,20.725832753170433,17.28766760000002,19.30895187271704,21.56976742277918,0.5667427795155677,1.4077532769275636,33.52519344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19861022,150.39049325,4.0,30.89778213,0.9950896,31707.61961,5.30376734304E11,0.9952810952519662,17084,18087,13.931171960000029,8.87621191922061,8.755612139624187,6.223536860000024,8.620017033755337,9.242965030146548,0.12573078679882532,0.89977417995052,59.102217870000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19861123,153.42011075,72.0,22.01667595,0.9874027,31739.61879398148,5.331414638E11,0.35450043693562483,6085,6377,2.55941942000004,-1.4494967800359702,-1.0295561482659985,-6.026646819999996,-2.8683642694414075,0.18049913662286007,-0.4220604991294254,1.9690668273831513,67.98332405,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870502,131.29899378,17.0,53.55352379,1.0078675,31899.622471620372,5.46965781548E11,1.0,17165,18205,18.866792840000016,7.539251241680431,7.275359762315489,6.141504380000015,6.709673296375316,7.836659445750071,2.365255840748275,1.6620191112979426,36.44647621,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_LT04_013030_19870526,123.58484709,38.0,57.46879674,1.0130782,31923.619376226852,5.49039114106E11,0.999067870667055,17149,18185,30.248799440000028,20.43146498226122,20.010577232822904,18.381434000000013,19.469433712631126,21.089872891139986,1.2009729273622498,1.4055476160410714,32.53120326,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870619,121.1651707,19.0,59.46297476,1.0161292,31947.62330172454,5.51113053269E11,1.0,17165,18205,31.875776960000053,20.769881816852294,20.952595537501757,16.228081400000008,20.184404656145997,21.576647448412523,0.6768389878546394,1.798558869724925,30.53702524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870806,127.85027983,17.0,53.81402103,1.0142733,31995.624085983796,5.55260321029E11,1.0,17165,18205,28.744870640000045,21.21414323781031,21.23022600050744,20.02550162,21.06550218910805,21.277249247942308,2.3783500563229283,0.5146909045298869,36.18597897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19871009,149.84749599,9.0,35.99111961,0.9988292,32059.625176574074,5.60790015256E11,1.0,17165,18203,12.974126360000014,11.28293747425424,11.39205306178895,7.949636960000021,11.245421530073383,11.39205306178895,-1.6209983300537556,0.5869901702696484,54.00888039,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19871025,153.29038146,34.0,30.82831641,0.994327,32075.62535079861,5.62172430309E11,0.8986891931255462,15426,16409,12.98438041999998,10.185040574819718,10.262198447710718,7.1429842400000325,10.12048902353895,10.673015239655431,-0.5932881561973917,0.5185301342286976,59.17168359,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880605,125.07561797,26.0,60.11291665,1.0147528,32299.627368541667,5.81526204642E11,0.9999417419166909,17164,18204,25.928422160000025,16.75394708410965,16.67990141721987,14.55325160000001,15.887333436557636,17.336708385242698,1.7843318289763876,1.4717719441380956,29.887083349999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880621,122.86057005,12.0,60.2458883,1.0163172,32315.627430590277,5.82908610003E11,0.9846198660064084,16901,17921,21.338021300000037,13.867394448401235,13.68767210417787,10.28072659999998,13.333399614518923,14.691049477203759,0.5197371480066243,1.2829156172263123,29.754111700000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880707,123.03384986,13.0,59.09176336,1.0166908,32331.627477523147,5.84291014058E11,0.9956889018351296,17091,18069,30.69997808000005,21.68613007867494,21.80231700069368,19.372659800000008,20.945002467320265,21.942002991412906,1.6613493134452912,1.1302584168292964,30.90823664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880723,125.68538989,32.0,56.90043194,1.0158482,32347.627514131942,5.85673417221E11,0.477832799300903,8202,8717,28.170643280000036,19.27869774606253,19.46206124003851,8.58880670000002,17.95235403654512,21.532153041309268,-0.8542404152881714,2.823851409522769,33.09956806,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880808,130.23241544,29.0,53.86618798,1.0138468,32363.627508090278,5.87055816699E11,0.40495193708127003,6951,7216,31.909957159999976,26.429788890305858,26.54375655103312,24.106617500000027,25.828156271033773,26.66143429688802,0.19121588766378256,0.6747172272984051,36.13381202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880909,141.68930555,38.0,45.59237656,1.0069936,32395.627551331017,5.89820620435E11,0.9893387707544422,16982,17992,23.46061172000003,17.780754528836813,17.683744626917502,4.500854780000054,17.54019400757922,18.160085273234614,-2.6960669492672205,0.6879759399757345,44.40762344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880925,147.02398984,7.0,40.59990784,1.0026268,32411.62747385417,5.91203013741E11,1.0,17165,18205,20.346795499999985,16.190916522786285,16.341530056458843,14.187523460000023,15.959345502084254,16.496040272470903,1.0156265599023935,0.41375220814905633,49.40009216,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19881027,154.42391666,3.0,30.15958108,0.9935882,32443.627395798612,5.93967806997E11,0.9999417419166909,17164,18203,11.524885880000056,9.059186694043834,9.221116627233005,6.028709720000052,8.811993671791448,9.361330152836702,-1.0948456999851077,0.44471296971797625,59.840418920000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19881112,156.05571174,10.0,25.50104549,0.989604,32459.62742542824,5.95350209557E11,0.9998252257500728,17162,18201,7.071205820000046,5.771908965915161,6.102468934122408,0.5940579200000116,5.5666637446989835,6.245932097774864,-1.492469448648958,0.8931427377386506,64.49895451,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19890507,131.59630944,36.0,55.57476125,1.0092191,32635.62611375,6.10556496228E11,0.7218176521992427,12390,13051,17.998615760000007,8.074210217772615,7.880618517481928,6.127832300000023,7.299609233674945,8.458004980227845,2.1809974979780438,1.5165143712413978,34.42523875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19890726,125.11043293,1.0,55.87151927,1.0155844,32715.625039953702,6.17468403452E11,1.0,17165,18205,34.45296403999998,24.443548643396706,24.35209640514836,22.56509047999998,24.203876936249074,24.35209640514836,2.329167530403093,1.145822808568487,34.12848073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_LT04_013030_19890803,129.50228547,32.0,55.33442785,1.0146253,32723.62944511574,6.18159984058E11,0.2674628604718905,4591,4993,28.433830820000026,23.008389566693577,23.163162212714326,19.902452900000014,22.518520944480127,23.800737293631965,-0.14004944626552782,1.0650467500951721,34.66557215,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_LT04_013030_19890819,134.84670457,26.0,51.73901843,1.0119189,32739.62941898148,6.195423818E11,0.8944363530439848,15353,16240,28.75512470000001,22.785466866018776,23.10930783140235,18.118246460000023,22.57530913211686,23.16418548539882,-1.7692227497205102,1.0689975624088177,38.26098157,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19890827,135.41357115,2.0,48.75503628,1.0102283,32747.624550416665,6.20233161156E11,1.0,17165,18205,23.207678240000007,18.14945739231153,18.207354625579722,16.081106540000007,18.05605490677332,18.207354625579722,1.8687474011912377,0.4185432202642764,41.24496372,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19890928,146.28782295,0.0,39.1619852,1.0018597,32779.624037546295,6.22997916844E11,1.0,17165,18205,18.88730096000006,15.995264288349144,15.953023222475101,12.68701268000001,15.820041018512233,16.35592439955414,-1.300425445923958,0.5482928896602209,50.8380148,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19891014,150.41113312,27.0,33.91842127,0.9972737,32795.62367177084,6.24380285241E11,0.9995339353335275,17157,18196,16.70318617999999,11.02446800608242,11.778819932608153,6.616609160000053,9.432465407634986,12.322737641182488,-0.5736931453732866,1.7701024324875958,56.08157873,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19891030,153.21914037,36.0,28.81433218,0.9928742,32811.62335378472,6.25762657767E11,0.940868045441305,16150,16882,12.885257840000008,7.087479243612539,6.817650884897641,5.553604940000014,6.683817897647278,7.442476091506588,2.1416372579284446,0.703292726358461,61.18566782,"{""type"":""MultiPoint"",""coordinates"":[]}"
