"","collection","filter","month","variable","All missions","LS 5","LS 7","LS 8"
"1","1","kurtosis","All data","n_obs",98,18,50,30
"2","1","none","All data","n_obs",125,25,62,38
"3","2","kurtosis","All data","n_obs",128,22,75,31
"4","2","none","All data","n_obs",157,29,86,42
"5","1","kurtosis","All data","mae",0.7,0.72,0.59,0.86
"6","1","none","All data","mae",0.94,1.1,0.81,1.05
"7","2","kurtosis","All data","mae",0.6,0.53,0.61,0.64
"8","2","none","All data","mae",0.86,1.08,0.85,0.72
"9","1","kurtosis","All data","rmse",1,0.89,0.85,1.27
"10","1","none","All data","rmse",1.31,1.48,1.19,1.38
"11","2","kurtosis","All data","rmse",0.77,0.68,0.79,0.79
"12","2","none","All data","rmse",1.42,1.85,1.41,1.05
"13","1","kurtosis","All data","mse",1.01,0.8,0.73,1.61
"14","1","none","All data","mse",1.72,2.18,1.41,1.9
"15","2","kurtosis","All data","mse",0.6,0.46,0.63,0.63
"16","2","none","All data","mse",2.02,3.44,1.99,1.11
"17","1","kurtosis","All data","bias",0,-0.01,0.03,-0.04
"18","1","none","All data","bias",0,-0.17,0.09,-0.04
"19","2","kurtosis","All data","bias",0,0.12,-0.03,-0.01
"20","2","none","All data","bias",0,-0.18,0.07,-0.02
"21","1","kurtosis","05","n_obs",15,3,8,4
"22","1","none","05","n_obs",16,3,9,4
"23","2","kurtosis","05","n_obs",13,2,8,3
"24","2","none","05","n_obs",16,2,11,3
"25","1","kurtosis","05","mae",1.15,1.11,1.04,1.38
"26","1","none","05","mae",1.48,1.53,1.46,1.48
"27","2","kurtosis","05","mae",1.15,1.09,1.13,1.26
"28","2","none","05","mae",1.4,1.69,1.34,1.43
"29","1","kurtosis","05","rmse",1.4,1.18,1.34,1.64
"30","1","none","05","rmse",1.7,1.57,1.67,1.85
"31","2","kurtosis","05","rmse",1.3,1.22,1.31,1.34
"32","2","none","05","rmse",1.62,1.75,1.57,1.72
"33","1","kurtosis","05","bias",0.99,1.11,1.04,0.8
"34","1","none","05","bias",1.42,1.53,1.46,1.23
"35","2","kurtosis","05","bias",0.73,1.09,0.62,0.79
"36","2","none","05","bias",1.11,1.69,0.91,1.43
"37","1","kurtosis","06","n_obs",12,3,5,4
"38","1","none","06","n_obs",15,4,6,5
"39","2","kurtosis","06","n_obs",11,2,6,3
"40","2","none","06","n_obs",15,4,7,4
"41","1","kurtosis","06","mae",0.63,0.57,0.5,0.86
"42","1","none","06","mae",0.85,0.77,0.65,1.16
"43","2","kurtosis","06","mae",0.75,1.11,0.7,0.6
"44","2","none","06","mae",1.24,0.79,1.81,0.69
"45","1","kurtosis","06","rmse",0.82,0.74,0.57,1.1
"46","1","none","06","rmse",1,0.88,0.73,1.32
"47","2","kurtosis","06","rmse",0.86,1.18,0.82,0.65
"48","2","none","06","rmse",1.97,1.03,2.72,0.79
"49","1","kurtosis","06","bias",0.53,0.57,0.24,0.86
"50","1","none","06","bias",0.72,0.77,0.32,1.16
"51","2","kurtosis","06","bias",0.75,1.11,0.7,0.6
"52","2","none","06","bias",0.35,0.79,-0.09,0.69
"53","1","kurtosis","07","n_obs",17,2,6,9
"54","1","none","07","n_obs",17,2,6,9
"55","2","kurtosis","07","n_obs",24,4,12,8
"56","2","none","07","n_obs",29,4,16,9
"57","1","kurtosis","07","mae",0.7,0.54,0.21,1.05
"58","1","none","07","mae",0.68,0.55,0.25,1
"59","2","kurtosis","07","mae",0.41,0.38,0.49,0.31
"60","2","none","07","mae",0.42,0.32,0.47,0.37
"61","1","kurtosis","07","rmse",1.22,0.68,0.26,1.64
"62","1","none","07","rmse",1.17,0.58,0.35,1.57
"63","2","kurtosis","07","rmse",0.54,0.51,0.62,0.39
"64","2","none","07","rmse",0.54,0.44,0.61,0.44
"65","1","kurtosis","07","bias",-0.36,-0.41,0.02,-0.61
"66","1","none","07","bias",-0.16,-0.17,0.22,-0.4
"67","2","kurtosis","07","bias",0.05,-0.31,0.21,-0.02
"68","2","none","07","bias",0.15,-0.11,0.22,0.15
"69","1","kurtosis","08","n_obs",12,2,8,2
"70","1","none","08","n_obs",15,3,9,3
"71","2","kurtosis","08","n_obs",25,4,16,5
"72","2","none","08","n_obs",29,6,16,7
"73","1","kurtosis","08","mae",0.56,0.62,0.42,1.07
"74","1","none","08","mae",0.9,1.38,0.67,1.08
"75","2","kurtosis","08","mae",0.49,0.18,0.54,0.6
"76","2","none","08","mae",0.8,1.58,0.53,0.73
"77","1","kurtosis","08","rmse",0.8,0.78,0.63,1.28
"78","1","none","08","rmse",1.26,1.75,1.03,1.27
"79","2","kurtosis","08","rmse",0.58,0.2,0.63,0.62
"80","2","none","08","rmse",1.44,2.77,0.65,1.01
"81","1","kurtosis","08","bias",-0.2,-0.48,0.09,-1.07
"82","1","none","08","bias",-0.44,-1.12,0,-1.08
"83","2","kurtosis","08","bias",-0.15,-0.07,-0.11,-0.33
"84","2","none","08","bias",-0.36,-1.38,0.04,-0.43
"85","1","kurtosis","09","n_obs",13,3,7,3
"86","1","none","09","n_obs",23,6,11,6
"87","2","kurtosis","09","n_obs",27,4,16,7
"88","2","none","09","n_obs",32,6,18,8
"89","1","kurtosis","09","mae",0.64,0.78,0.64,0.51
"90","1","none","09","mae",1,1.68,0.58,1.07
"91","2","kurtosis","09","mae",0.67,0.6,0.69,0.68
"92","2","none","09","mae",1.07,1.63,0.97,0.87
"93","1","kurtosis","09","rmse",0.82,1.05,0.73,0.75
"94","1","none","09","rmse",1.45,2.26,0.82,1.3
"95","2","kurtosis","09","rmse",0.85,0.63,0.87,0.92
"96","2","none","09","rmse",1.85,2.53,1.82,1.21
"97","1","kurtosis","09","bias",-0.15,-0.39,-0.33,0.51
"98","1","none","09","bias",-0.52,-1.3,-0.24,-0.25
"99","2","kurtosis","09","bias",-0.22,0.02,-0.45,0.17
"100","2","none","09","bias",-0.47,-0.98,-0.57,0.13
"101","1","kurtosis","10","n_obs",16,4,8,4
"102","1","none","10","n_obs",20,5,9,6
"103","2","kurtosis","10","n_obs",18,4,10,4
"104","2","none","10","n_obs",21,5,10,6
"105","1","kurtosis","10","mae",0.5,0.52,0.4,0.7
"106","1","none","10","mae",0.73,0.63,0.5,1.15
"107","2","kurtosis","10","mae",0.44,0.47,0.32,0.72
"108","2","none","10","mae",0.62,0.6,0.44,0.92
"109","1","kurtosis","10","rmse",0.65,0.67,0.48,0.89
"110","1","none","10","rmse",0.91,0.71,0.66,1.31
"111","2","kurtosis","10","rmse",0.54,0.54,0.33,0.85
"112","2","none","10","rmse",0.91,0.79,0.52,1.39
"113","1","kurtosis","10","bias",-0.19,-0.28,-0.12,-0.23
"114","1","none","10","bias",-0.02,-0.11,0.38,-0.55
"115","2","kurtosis","10","bias",-0.22,0.05,-0.13,-0.72
"116","2","none","10","bias",0.04,0.35,0.41,-0.82
"117","1","kurtosis","11","n_obs",13,1,8,4
"118","1","none","11","n_obs",19,2,12,5
"119","2","kurtosis","11","n_obs",10,2,7,1
"120","2","none","11","n_obs",15,2,8,5
"121","1","kurtosis","11","mae",0.65,1.13,0.79,0.26
"122","1","none","11","mae",1,0.66,1.25,0.54
"123","2","kurtosis","11","mae",0.59,0.36,0.6,1
"124","2","none","11","mae",0.76,0.58,0.99,0.47
"125","1","kurtosis","11","rmse",1,1.14,1.18,0.35
"126","1","none","11","rmse",1.48,0.66,1.77,0.73
"127","2","kurtosis","11","rmse",0.8,0.41,0.85,1
"128","2","none","11","rmse",1.2,0.69,1.48,0.77
