"date","unimodal","tot_pix","perc_lake"
2007-07-12,"unimodal",12124,51.29
2007-08-05,"unimodal",14740,62.35
2007-08-13,"unimodal",15460,65.4
2007-09-14,"unimodal",17193,72.73
2007-11-25,"unimodal",14944,63.21
2008-05-11,"unimodal",17193,72.73
2008-06-12,"unimodal",17193,72.73
2008-07-06,"unimodal",14435,61.06
2008-08-15,"unimodal",7639,32.31
2008-08-23,"unimodal",14856,62.84
2008-08-31,"unimodal",14738,62.34
2008-09-08,"unimodal",11870,50.21
2008-10-10,"unimodal",15091,63.84
2008-10-18,"unimodal",16411,69.42
2008-10-26,"unimodal",14916,63.1
2008-11-11,"unimodal",7088,29.98
2008-11-27,"unimodal",13502,57.12
2009-05-22,"unimodal",14480,61.25
2009-05-30,"unimodal",11509,48.68
2009-09-03,"unimodal",8396,35.52
2009-09-19,"unimodal",12481,52.8
2009-10-05,"unimodal",6897,29.18
2009-10-21,"unimodal",13882,58.72
2009-11-22,"unimodal",17192,72.72
2010-05-01,"unimodal",9398,39.75
2010-05-17,"not unimodal",17193,72.73
2010-06-02,"unimodal",16359,69.2
2010-06-18,"unimodal",17075,72.23
2010-07-12,"unimodal",7555,31.96
2010-08-29,"unimodal",14806,62.63
2010-09-06,"unimodal",15221,64.39
2010-09-14,"unimodal",10161,42.98
2010-10-08,"unimodal",17193,72.73
2010-11-17,"unimodal",15301,64.73
2011-05-12,"unimodal",14593,61.73
2011-06-21,"unimodal",17193,72.73
2011-06-29,"unimodal",14546,61.53
2011-07-07,"unimodal",7381,31.22
2011-07-15,"unimodal",14882,62.95
2011-07-31,"unimodal",15236,64.45
2011-10-11,"unimodal",17193,72.73
2011-11-04,"unimodal",14581,61.68
2011-11-12,"unimodal",17153,72.56
2012-06-15,"unimodal",15021,63.54
2012-08-18,"unimodal",11216,47.45
2012-09-03,"unimodal",15359,64.97
2012-09-19,"unimodal",15303,64.73
2012-10-21,"unimodal",8829,37.35
2012-11-06,"unimodal",15268,64.59
2012-11-22,"unimodal",15333,64.86
2013-05-01,"not unimodal",14854,62.83
2013-05-17,"unimodal",11004,46.55
2013-07-12,"unimodal",6734,28.49
2013-08-05,"unimodal",15055,63.68
2013-09-06,"not unimodal",15453,65.37
2013-09-30,"unimodal",16056,67.92
2013-10-08,"unimodal",15363,64.99
2013-11-09,"unimodal",15030,63.58
2013-11-25,"unimodal",14615,61.82
2014-05-12,"not unimodal",17193,72.73
2014-05-20,"unimodal",15040,63.62
2014-08-08,"unimodal",14607,61.79
2014-09-17,"not unimodal",14871,62.91
2014-10-03,"unimodal",17193,72.73
2014-10-27,"unimodal",11645,49.26
2014-11-20,"not unimodal",17029,72.03
2014-11-28,"unimodal",3315,14.02
2015-05-07,"not unimodal",15227,64.41
2015-05-23,"unimodal",15105,63.9
2015-06-24,"unimodal",14070,59.52
2015-07-02,"unimodal",14564,61.61
2015-07-10,"unimodal",11059,46.78
2015-10-22,"unimodal",10983,46.46
2015-10-30,"unimodal",12800,54.15
2015-11-23,"not unimodal",17193,72.73
2016-05-17,"unimodal",6617,27.99
2016-05-25,"not unimodal",13999,59.22
2016-06-18,"unimodal",17192,72.72
2016-07-04,"unimodal",17192,72.72
2016-07-20,"unimodal",17111,72.38
2016-08-05,"unimodal",13062,55.25
2016-08-29,"unimodal",13572,57.41
2016-09-14,"unimodal",13214,55.9
2016-10-24,"not unimodal",15552,65.79
2016-11-01,"unimodal",8082,34.19
2017-05-04,"unimodal",15982,67.61
2017-05-20,"unimodal",17193,72.73
2017-06-13,"unimodal",5916,25.03
2017-06-21,"unimodal",14998,63.44
2017-07-23,"unimodal",16053,67.91
2017-08-24,"unimodal",10973,46.42
2017-09-01,"unimodal",6730,28.47
2017-09-09,"not unimodal",7310,30.92
2017-09-17,"unimodal",15209,64.34
2017-10-03,"unimodal",14407,60.94
2017-10-11,"unimodal",11134,47.1
2017-10-19,"unimodal",14576,61.66
2017-10-27,"unimodal",17193,72.73
2017-11-04,"unimodal",13886,58.74
2017-11-12,"not unimodal",17193,72.73
2017-11-28,"unimodal",14791,62.57
2018-05-23,"unimodal",17193,72.73
2018-06-08,"unimodal",12926,54.68
2018-07-10,"unimodal",16068,67.97
2018-07-18,"unimodal",15143,64.06
2018-08-19,"unimodal",14621,61.85
2018-09-04,"unimodal",10722,45.36
2018-10-14,"unimodal",17138,72.5
2018-10-22,"unimodal",14633,61.9
2018-11-07,"unimodal",10645,45.03
2018-11-23,"unimodal",11525,48.75
2019-05-18,"unimodal",14748,62.39
2019-05-26,"unimodal",12848,54.35
2019-06-03,"unimodal",14749,62.39
2019-06-27,"unimodal",14693,62.15
2019-07-29,"unimodal",14890,62.99
2019-08-14,"unimodal",14053,59.45
2019-09-07,"unimodal",13931,58.93
2019-09-15,"unimodal",15488,65.52
