"","temp_degC","date","count"
"188",15.6,1988-06-21,44
"189",16.1,1988-06-21,13
"190",16.5,1988-06-21,3
"191",17,1988-06-21,2
"192",17.4,1988-06-21,1
"193",2.9,1988-07-23,1
"194",5.4,1988-07-23,1
"195",5.9,1988-07-23,7
"196",6.5,1988-07-23,8
"197",7,1988-07-23,21
"198",7.5,1988-07-23,28
"199",7.9,1988-07-23,25
"200",8.4,1988-07-23,50
"201",8.9,1988-07-23,65
"202",9.4,1988-07-23,113
"203",9.9,1988-07-23,163
"204",10.4,1988-07-23,236
"205",10.9,1988-07-23,226
"206",11.4,1988-07-23,247
"207",11.8,1988-07-23,217
"208",12.3,1988-07-23,235
"209",12.8,1988-07-23,233
"210",13.3,1988-07-23,206
"211",13.7,1988-07-23,347
"212",14.2,1988-07-23,420
"213",14.7,1988-07-23,425
"214",15.1,1988-07-23,567
"215",15.6,1988-07-23,854
"216",16.1,1988-07-23,1487
"217",16.5,1988-07-23,1305
"218",17,1988-07-23,897
"219",17.4,1988-07-23,1250
"220",17.9,1988-07-23,429
"221",18.3,1988-07-23,252
"222",18.8,1988-07-23,96
"223",19.3,1988-07-23,36
"224",19.7,1988-07-23,11
"225",20.1,1988-07-23,3
"226",6,1988-09-09,3
"227",6.5,1988-09-09,1
"228",7.5,1988-09-09,3
"229",7.9,1988-09-09,3
"230",8.9,1988-09-09,4
"231",9.9,1988-09-09,3
"232",10.4,1988-09-09,2
"233",10.9,1988-09-09,3
"234",11.4,1988-09-09,19
"235",11.8,1988-09-09,26
"236",12.3,1988-09-09,32
"237",12.8,1988-09-09,38
"238",13.3,1988-09-09,37
"239",13.7,1988-09-09,109
"240",14.2,1988-09-09,237
"241",14.7,1988-09-09,276
"242",15.1,1988-09-09,704
"243",15.6,1988-09-09,11163
"244",16.1,1988-09-09,3941
"245",16.5,1988-09-09,426
"246",17,1988-09-09,72
"247",17.4,1988-09-09,25
"248",17.9,1988-09-09,8
"249",18.3,1988-09-09,1
"250",12.8,1988-09-25,27
"251",13.3,1988-09-25,561
"252",13.7,1988-09-25,7264
"253",14.2,1988-09-25,9067
"254",14.7,1988-09-25,240
"255",15.1,1988-09-25,22
"256",15.6,1988-09-25,8
"257",16.1,1988-09-25,3
"258",16.5,1988-09-25,1
"259",0.3,1988-10-11,1
"260",0.8,1988-10-11,1
"261",1.8,1988-10-11,8
"262",2.4,1988-10-11,9
"263",2.9,1988-10-11,25
"264",3.4,1988-10-11,45
"265",3.9,1988-10-11,111
"266",4.4,1988-10-11,195
"267",4.9,1988-10-11,312
"268",5.4,1988-10-11,375
"269",6,1988-10-11,508
"270",6.5,1988-10-11,446
"271",7,1988-10-11,414
"272",7.5,1988-10-11,481
"273",7.9,1988-10-11,449
"274",8.4,1988-10-11,461
"275",8.9,1988-10-11,570
"276",9.4,1988-10-11,696
"277",9.9,1988-10-11,822
"278",10.4,1988-10-11,96
"279",10.9,1988-10-11,3
"280",11.4,1988-10-11,1
"281",4.9,1988-10-27,4
"282",5.4,1988-10-27,45
"283",6,1988-10-27,246
"284",6.5,1988-10-27,992
"285",7,1988-10-27,5430
"286",7.5,1988-10-27,10182
"287",7.9,1988-10-27,292
"288",0.8,1988-11-12,10
"289",1.3,1988-11-12,45
"290",1.8,1988-11-12,149
"291",2.4,1988-11-12,303
"292",2.9,1988-11-12,608
"293",3.4,1988-11-12,1002
"294",3.9,1988-11-12,1695
"295",4.4,1988-11-12,4011
"296",4.9,1988-11-12,7172
"297",5.4,1988-11-12,2196
"298",3.4,1989-05-07,2
"299",3.9,1989-05-07,4
"300",4.4,1989-05-07,39
"301",4.9,1989-05-07,133
"302",5.4,1989-05-07,391
"303",6,1989-05-07,1717
"304",6.5,1989-05-07,5679
"305",7,1989-05-07,3310
"306",7.5,1989-05-07,1257
"307",7.9,1989-05-07,657
"308",8.4,1989-05-07,462
"309",8.9,1989-05-07,306
"310",9.4,1989-05-07,213
"311",9.9,1989-05-07,153
"312",10.4,1989-05-07,76
"313",10.9,1989-05-07,49
"314",11.4,1989-05-07,24
"315",11.8,1989-05-07,14
"316",12.3,1989-05-07,4
"317",13.6,1989-08-19,10
"318",14.1,1989-08-19,21
"319",14.5,1989-08-19,37
"320",15,1989-08-19,98
"321",15.4,1989-08-19,123
"322",15.9,1989-08-19,273
"323",16.3,1989-08-19,348
"324",16.8,1989-08-19,397
"325",17.2,1989-08-19,311
"326",17.6,1989-08-19,345
"327",18.1,1989-08-19,480
"328",18.5,1989-08-19,557
"329",19,1989-08-19,611
"330",19.4,1989-08-19,2935
"331",19.8,1989-08-19,7792
"332",20.3,1989-08-19,1782
"333",20.7,1989-08-19,112
"334",21.1,1989-08-19,27
"335",21.5,1989-08-19,12
"336",22,1989-08-19,5
"337",23.2,1989-08-19,1
"338",14.7,1989-08-27,20
"339",15.1,1989-08-27,411
"340",15.6,1989-08-27,1789
"341",16.1,1989-08-27,13026
"342",16.5,1989-08-27,1853
"343",17,1989-08-27,60
"344",17.4,1989-08-27,20
"345",17.9,1989-08-27,7
"346",18.3,1989-08-27,7
"347",10.9,1989-09-28,7
"348",11.4,1989-09-28,58
"349",11.8,1989-09-28,214
"350",12.3,1989-09-28,663
"351",12.8,1989-09-28,2194
"352",13.3,1989-09-28,7110
"353",13.7,1989-09-28,6722
"354",14.2,1989-09-28,225
"355",5.4,1989-10-14,21
"356",6,1989-10-14,869
"357",6.5,1989-10-14,927
"358",7,1989-10-14,828
"359",7.5,1989-10-14,880
"360",7.9,1989-10-14,964
"361",8.4,1989-10-14,1009
"362",8.9,1989-10-14,1227
"363",9.4,1989-10-14,1168
"364",9.9,1989-10-14,1914
"365",10.4,1989-10-14,4847
"366",10.9,1989-10-14,2306
"367",11.4,1989-10-14,192
"368",11.8,1989-10-14,36
"369",12.3,1989-10-14,3
"370",4.9,1989-10-30,1
"371",5.4,1989-10-30,2
"372",6,1989-10-30,4
"373",6.5,1989-10-30,985
"374",7,1989-10-30,8949
"375",7.5,1989-10-30,5408
"376",7.9,1989-10-30,1115
"377",8.4,1989-10-30,411
"378",8.9,1989-10-30,204
"379",9.4,1989-10-30,72
"380",9.9,1989-10-30,21
"381",10.4,1989-10-30,1
"382",0.3,1990-05-26,22
"383",0.8,1990-05-26,42
"384",1.3,1990-05-26,128
"385",1.8,1990-05-26,131
"386",2.4,1990-05-26,178
"387",2.9,1990-05-26,243
"388",3.4,1990-05-26,191
"389",3.9,1990-05-26,213
"390",4.4,1990-05-26,189
"391",4.9,1990-05-26,129
"392",5.4,1990-05-26,105
"393",6,1990-05-26,112
"394",6.5,1990-05-26,215
"395",7,1990-05-26,457
"396",7.5,1990-05-26,660
"397",7.9,1990-05-26,979
"398",8.4,1990-05-26,1259
"399",8.9,1990-05-26,1580
"400",9.4,1990-05-26,1075
"401",9.9,1990-05-26,801
"402",10.4,1990-05-26,925
"403",10.9,1990-05-26,755
"404",11.4,1990-05-26,924
"405",11.8,1990-05-26,1249
"406",12.3,1990-05-26,1741
"407",12.8,1990-05-26,1521
"408",13.3,1990-05-26,417
"409",13.7,1990-05-26,148
"410",14.2,1990-05-26,79
"411",14.7,1990-05-26,35
"412",15.1,1990-05-26,13
"413",15.6,1990-05-26,7
"414",16.1,1990-05-26,1
"415",17.9,1990-06-27,836
"416",18.3,1990-06-27,4444
"417",18.8,1990-06-27,7678
"418",19.3,1990-06-27,2751
"419",19.7,1990-06-27,968
"420",20.1,1990-06-27,357
"421",20.6,1990-06-27,117
"422",21,1990-06-27,34
"423",21.5,1990-06-27,5
"424",21.9,1990-06-27,2
"425",23.2,1990-06-27,1
"426",11.8,1990-07-21,2
"427",12.3,1990-07-21,4
"428",12.7,1990-07-21,4
"429",13.2,1990-07-21,14
"430",13.6,1990-07-21,37
"431",14.1,1990-07-21,70
"432",14.5,1990-07-21,118
"433",15,1990-07-21,245
"434",15.4,1990-07-21,418
"435",15.9,1990-07-21,888
"436",16.3,1990-07-21,1446
"437",16.8,1990-07-21,1720
"438",17.2,1990-07-21,2049
"439",17.6,1990-07-21,1332
"440",18.1,1990-07-21,1072
"441",18.5,1990-07-21,756
"442",19,1990-07-21,887
"443",19.4,1990-07-21,825
"444",19.8,1990-07-21,983
"445",20.3,1990-07-21,259
"446",20.7,1990-07-21,24
"447",21.1,1990-07-21,3
"448",16.5,1990-07-29,1
"449",17,1990-07-29,3
"450",17.4,1990-07-29,9
"451",17.9,1990-07-29,40
"452",18.3,1990-07-29,90
"453",18.8,1990-07-29,209
"454",19.2,1990-07-29,505
"455",19.7,1990-07-29,2994
"456",20.1,1990-07-29,5213
"457",20.6,1990-07-29,5452
"458",21,1990-07-29,1478
"459",21.5,1990-07-29,207
"460",21.9,1990-07-29,30
"461",22.4,1990-07-29,11
"462",22.8,1990-07-29,3
"463",23.2,1990-07-29,1
"464",23.7,1990-07-29,2
"465",17,1990-08-30,3
"466",17.4,1990-08-30,68
"467",17.9,1990-08-30,632
"468",18.3,1990-08-30,5798
"469",18.8,1990-08-30,10085
"470",19.2,1990-08-30,572
"471",19.7,1990-08-30,23
"472",20.1,1990-08-30,11
"473",20.6,1990-08-30,1
"474",3.4,1990-10-01,3
"475",3.9,1990-10-01,1
"476",4.4,1990-10-01,2
"477",4.9,1990-10-01,4
"478",5.4,1990-10-01,6
"479",6,1990-10-01,9
"480",6.5,1990-10-01,17
"481",7,1990-10-01,30
"482",7.5,1990-10-01,60
"483",7.9,1990-10-01,132
"484",8.4,1990-10-01,184
"485",8.9,1990-10-01,227
"486",9.4,1990-10-01,233
"487",9.9,1990-10-01,277
"488",10.4,1990-10-01,350
"489",10.9,1990-10-01,473
"490",11.4,1990-10-01,564
"491",11.8,1990-10-01,913
"492",12.3,1990-10-01,1605
"493",12.8,1990-10-01,4681
"494",13.3,1990-10-01,5503
"495",13.7,1990-10-01,165
"496",14.2,1990-10-01,3
"497",14.7,1990-10-01,1
"498",6.5,1990-10-17,2
"499",7,1990-10-17,26
"500",7.5,1990-10-17,206
"501",7.9,1990-10-17,253
"502",8.4,1990-10-17,150
"503",8.9,1990-10-17,173
"504",9.4,1990-10-17,231
"505",9.9,1990-10-17,314
"506",10.4,1990-10-17,1032
"507",10.9,1990-10-17,7607
"508",11.4,1990-10-17,6431
"509",11.8,1990-10-17,217
"510",12.3,1990-10-17,1
"511",0.3,1990-11-18,250
"512",0.8,1990-11-18,301
"513",1.3,1990-11-18,369
"514",1.8,1990-11-18,612
"515",2.4,1990-11-18,764
"516",2.9,1990-11-18,2057
"517",3.4,1990-11-18,2941
"518",3.9,1990-11-18,357
"519",10.4,1991-05-13,1
"520",10.9,1991-05-13,371
"521",11.4,1991-05-13,3832
"522",11.8,1991-05-13,5320
"523",12.3,1991-05-13,3980
"524",12.8,1991-05-13,1051
"525",13.3,1991-05-13,673
"526",13.7,1991-05-13,527
"527",14.2,1991-05-13,401
"528",14.7,1991-05-13,307
"529",15.1,1991-05-13,238
"530",15.6,1991-05-13,172
"531",16.1,1991-05-13,109
"532",16.5,1991-05-13,92
"533",17,1991-05-13,57
"534",17.4,1991-05-13,37
"535",17.9,1991-05-13,13
"536",18.3,1991-05-13,6
"537",18.8,1991-05-13,4
"538",19.2,1991-05-13,2
"539",14.7,1991-07-16,2
"540",15.1,1991-07-16,5
"541",15.6,1991-07-16,3
"542",16.1,1991-07-16,8
"543",16.5,1991-07-16,14
"544",17,1991-07-16,34
"545",17.4,1991-07-16,111
"546",17.9,1991-07-16,1532
"547",18.3,1991-07-16,8641
"548",18.8,1991-07-16,4278
"549",19.2,1991-07-16,1197
"550",19.7,1991-07-16,596
"551",20.1,1991-07-16,330
"552",20.6,1991-07-16,181
"553",21,1991-07-16,69
"554",21.5,1991-07-16,30
"555",21.9,1991-07-16,13
"556",22.4,1991-07-16,6
"557",22.8,1991-07-16,1
"558",23.2,1991-07-16,1
"559",24.5,1991-07-16,1
"560",14.7,1991-09-02,1
"561",15.1,1991-09-02,33
"562",15.6,1991-09-02,197
"563",16.1,1991-09-02,637
"564",16.5,1991-09-02,1280
"565",17,1991-09-02,7117
"566",17.4,1991-09-02,7611
"567",17.9,1991-09-02,305
"568",18.3,1991-09-02,11
"569",18.8,1991-09-02,1
"570",3.4,1991-09-18,1
"571",3.9,1991-09-18,4
"572",4.4,1991-09-18,9
"573",4.9,1991-09-18,16
"574",5.4,1991-09-18,56
"575",6,1991-09-18,154
"576",6.5,1991-09-18,302
"577",7,1991-09-18,522
"578",7.5,1991-09-18,880
"579",7.9,1991-09-18,1148
"580",8.4,1991-09-18,1267
"581",8.9,1991-09-18,1209
"582",9.4,1991-09-18,1179
"583",9.9,1991-09-18,1075
"584",10.4,1991-09-18,1160
"585",10.9,1991-09-18,1160
"586",11.4,1991-09-18,1047
"587",11.8,1991-09-18,956
"588",12.3,1991-09-18,876
"589",12.8,1991-09-18,789
"590",13.3,1991-09-18,649
"591",13.7,1991-09-18,505
"592",14.2,1991-09-18,496
"593",14.7,1991-09-18,490
"594",15.1,1991-09-18,135
"595",15.6,1991-09-18,3
"596",9.9,1991-10-04,1
"597",10.4,1991-10-04,1
"598",10.9,1991-10-04,9
"599",11.4,1991-10-04,51
"600",11.8,1991-10-04,295
"601",12.3,1991-10-04,2508
"602",12.8,1991-10-04,10861
"603",13.3,1991-10-04,2688
"604",13.7,1991-10-04,471
"605",14.2,1991-10-04,80
"606",14.7,1991-10-04,15
"607",15.1,1991-10-04,2
"608",15.6,1991-10-04,1
"609",0.3,1991-11-05,300
"610",0.8,1991-11-05,366
"611",1.3,1991-11-05,367
"612",1.8,1991-11-05,467
"613",2.4,1991-11-05,943
"614",2.9,1991-11-05,1526
"615",3.4,1991-11-05,1824
"616",3.9,1991-11-05,1239
"617",4.4,1991-11-05,1272
"618",4.9,1991-11-05,1023
"619",5.4,1991-11-05,2026
"620",6,1991-11-05,2710
"621",6.5,1991-11-05,1651
"622",7,1991-11-05,156
"623",4.9,1992-05-15,25
"624",5.4,1992-05-15,97
"625",6,1992-05-15,224
"626",6.5,1992-05-15,355
"627",7,1992-05-15,434
"628",7.5,1992-05-15,1263
"629",7.9,1992-05-15,2872
"630",8.4,1992-05-15,5830
"631",8.9,1992-05-15,2417
"632",9.4,1992-05-15,921
"633",9.9,1992-05-15,507
"634",10.4,1992-05-15,307
"635",10.9,1992-05-15,183
"636",11.4,1992-05-15,118
"637",11.8,1992-05-15,50
"638",12.3,1992-05-15,27
"639",12.8,1992-05-15,13
"640",13.3,1992-05-15,7
"641",13.7,1992-05-15,2
"642",14.2,1992-05-15,1
"643",15.6,1992-06-16,12
"644",16.1,1992-06-16,6831
"645",16.5,1992-06-16,7722
"646",17,1992-06-16,1762
"647",17.4,1992-06-16,477
"648",17.9,1992-06-16,203
"649",18.3,1992-06-16,86
"650",18.8,1992-06-16,44
"651",19.2,1992-06-16,25
"652",19.7,1992-06-16,16
"653",20.1,1992-06-16,7
"654",20.6,1992-06-16,4
"655",21,1992-06-16,3
"656",21.9,1992-06-16,1
"657",10.9,1992-08-19,1
"658",11.4,1992-08-19,3
"659",11.8,1992-08-19,8
"660",12.3,1992-08-19,19
"661",12.8,1992-08-19,68
"662",13.3,1992-08-19,278
"663",13.7,1992-08-19,662
"664",14.2,1992-08-19,2449
"665",14.7,1992-08-19,4205
"666",15.1,1992-08-19,4506
"667",15.6,1992-08-19,730
"668",16.1,1992-08-19,226
"669",16.5,1992-08-19,83
"670",17,1992-08-19,32
"671",17.4,1992-08-19,13
"672",17.9,1992-08-19,6
"673",18.3,1992-08-19,2
"674",12.3,1992-09-20,2
"675",12.8,1992-09-20,12
"676",13.3,1992-09-20,97
"677",13.7,1992-09-20,499
"678",14.2,1992-09-20,2770
"679",14.7,1992-09-20,8858
"680",15.1,1992-09-20,4484
"681",15.6,1992-09-20,469
"682",16.1,1992-09-20,2
"683",7.5,1992-10-06,5
"684",7.9,1992-10-06,21
"685",8.4,1992-10-06,112
"686",8.9,1992-10-06,336
"687",9.4,1992-10-06,744
"688",9.9,1992-10-06,1405
"689",10.4,1992-10-06,4694
"690",10.9,1992-10-06,9648
"691",11.4,1992-10-06,226
"692",0.3,1992-10-22,1
"693",0.8,1992-10-22,6
"694",1.3,1992-10-22,20
"695",1.8,1992-10-22,30
"696",2.4,1992-10-22,75
"697",2.9,1992-10-22,92
"698",3.4,1992-10-22,124
"699",3.9,1992-10-22,146
"700",4.4,1992-10-22,139
"701",4.9,1992-10-22,175
"702",5.4,1992-10-22,204
"703",6,1992-10-22,285
"704",6.5,1992-10-22,414
"705",7,1992-10-22,689
"706",7.5,1992-10-22,2010
"707",7.9,1992-10-22,5730
"708",8.4,1992-10-22,238
"709",0.3,1992-11-07,278
"710",0.8,1992-11-07,271
"711",1.3,1992-11-07,367
"712",1.8,1992-11-07,381
"713",2.4,1992-11-07,480
"714",2.9,1992-11-07,602
"715",3.4,1992-11-07,697
"716",3.9,1992-11-07,756
"717",4.4,1992-11-07,1768
"718",4.9,1992-11-07,930
"719",5.4,1992-11-07,23
"720",4.4,1993-05-02,26
"721",4.9,1993-05-02,399
"722",5.4,1993-05-02,2472
"723",6,1993-05-02,3518
"724",6.5,1993-05-02,5000
"725",7,1993-05-02,2187
"726",7.5,1993-05-02,959
"727",7.9,1993-05-02,671
"728",8.4,1993-05-02,495
"729",8.9,1993-05-02,393
"730",9.4,1993-05-02,291
"731",9.9,1993-05-02,204
"732",10.4,1993-05-02,164
"733",10.9,1993-05-02,129
"734",11.4,1993-05-02,102
"735",11.8,1993-05-02,58
"736",12.3,1993-05-02,48
"737",12.8,1993-05-02,38
"738",13.3,1993-05-02,16
"739",13.7,1993-05-02,13
"740",14.2,1993-05-02,8
"741",14.7,1993-05-02,1
"742",15.1,1993-05-02,1
"743",0.3,1993-06-03,1
"744",1.3,1993-06-03,1
"745",1.8,1993-06-03,4
"746",2.4,1993-06-03,4
"747",2.9,1993-06-03,3
"748",3.4,1993-06-03,5
"749",3.9,1993-06-03,12
"750",4.4,1993-06-03,17
"751",4.9,1993-06-03,35
"752",5.4,1993-06-03,47
"753",6,1993-06-03,62
"754",6.5,1993-06-03,89
"755",7,1993-06-03,108
"756",7.5,1993-06-03,173
"757",7.9,1993-06-03,250
"758",8.4,1993-06-03,326
"759",8.9,1993-06-03,450
"760",9.4,1993-06-03,799
"761",9.9,1993-06-03,2139
"762",10.4,1993-06-03,2992
"763",10.9,1993-06-03,2643
"764",11.4,1993-06-03,664
"765",11.8,1993-06-03,389
"766",12.3,1993-06-03,188
"767",12.8,1993-06-03,138
"768",13.3,1993-06-03,95
"769",13.7,1993-06-03,41
"770",14.2,1993-06-03,38
"771",14.7,1993-06-03,19
"772",15.1,1993-06-03,8
"773",15.6,1993-06-03,1
"774",16.1,1993-06-03,3
"775",18.3,1993-06-03,1
"776",16.5,1993-07-05,77
"777",17,1993-07-05,1424
"778",17.4,1993-07-05,6220
"779",17.9,1993-07-05,4465
"780",18.3,1993-07-05,2898
"781",18.8,1993-07-05,1436
"782",19.3,1993-07-05,339
"783",19.7,1993-07-05,187
"784",20.1,1993-07-05,80
"785",20.6,1993-07-05,44
"786",21,1993-07-05,7
"787",21.5,1993-07-05,8
"788",21.9,1993-07-05,2
"789",22.4,1993-07-05,3
"790",22.8,1993-07-05,1
"791",23.2,1993-07-05,1
"792",24.5,1993-07-05,1
"793",8.9,1993-07-21,2
"794",9.4,1993-07-21,2
"795",9.9,1993-07-21,1
"796",10.4,1993-07-21,7
"797",10.9,1993-07-21,6
"798",11.4,1993-07-21,7
"799",11.8,1993-07-21,9
"800",12.3,1993-07-21,14
"801",12.8,1993-07-21,24
"802",13.3,1993-07-21,37
"803",13.7,1993-07-21,74
"804",14.2,1993-07-21,81
"805",14.7,1993-07-21,160
"806",15.1,1993-07-21,248
"807",15.6,1993-07-21,317
"808",16.1,1993-07-21,525
"809",16.5,1993-07-21,974
"810",17,1993-07-21,1706
"811",17.4,1993-07-21,1794
"812",17.9,1993-07-21,155
"813",18.3,1993-07-21,73
"814",18.8,1993-07-21,53
"815",19.2,1993-07-21,31
"816",19.7,1993-07-21,8
"817",9.9,1993-08-06,3
"818",10.4,1993-08-06,9
"819",10.9,1993-08-06,48
"820",11.4,1993-08-06,339
"821",11.8,1993-08-06,453
"822",12.3,1993-08-06,568
"823",12.8,1993-08-06,1094
"824",13.3,1993-08-06,1693
"825",13.7,1993-08-06,2688
"826",14.2,1993-08-06,1889
"827",14.7,1993-08-06,969
"828",15.1,1993-08-06,1077
"829",15.6,1993-08-06,1387
"830",16.1,1993-08-06,1278
"831",16.5,1993-08-06,1599
"832",17,1993-08-06,979
"833",17.4,1993-08-06,391
"834",17.9,1993-08-06,178
"835",18.3,1993-08-06,9
"836",18.8,1993-08-06,2
"837",19.2,1993-08-06,3
"838",20.1,1993-08-06,1
"839",20.6,1993-08-06,1
"840",21.9,1993-08-06,1
"841",5.4,1993-09-07,2
"842",6,1993-09-07,1
"843",6.5,1993-09-07,7
"844",7,1993-09-07,48
"845",7.5,1993-09-07,147
"846",7.9,1993-09-07,282
"847",8.4,1993-09-07,457
"848",8.9,1993-09-07,576
"849",9.4,1993-09-07,755
"850",9.9,1993-09-07,1158
"851",10.4,1993-09-07,1150
"852",10.9,1993-09-07,1186
"853",11.4,1993-09-07,1320
"854",11.8,1993-09-07,402
"855",12.3,1993-09-07,55
"856",2.9,1993-10-25,1
"857",3.9,1993-10-25,12
"858",4.4,1993-10-25,30
"859",4.9,1993-10-25,62
"860",5.4,1993-10-25,85
"861",6,1993-10-25,137
"862",6.5,1993-10-25,176
"863",7,1993-10-25,244
"864",7.5,1993-10-25,606
"865",7.9,1993-10-25,1959
"866",8.4,1993-10-25,6300
"867",8.9,1993-10-25,6199
"868",9.4,1993-10-25,376
"869",9.9,1993-10-25,5
"870",1.8,1993-11-10,1
