,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
149484,2012-06-15 10:00:00,43.3913,-72.0576,loon,0.5,19.58,edi.499.2,sub-daily,6,1339772400000.0
149485,2012-06-15 10:10:00,43.3913,-72.0576,loon,0.5,19.52,edi.499.2,sub-daily,6,1339773000000.0
149486,2012-06-15 10:20:00,43.3913,-72.0576,loon,0.5,19.459999999999994,edi.499.2,sub-daily,6,1339773600000.0
149487,2012-06-15 10:30:00,43.3913,-72.0576,loon,0.5,19.459999999999994,edi.499.2,sub-daily,6,1339774200000.0
149488,2012-06-15 10:40:00,43.3913,-72.0576,loon,0.5,19.459999999999994,edi.499.2,sub-daily,6,1339774800000.0
149489,2012-06-15 10:50:00,43.3913,-72.0576,loon,0.5,19.459999999999994,edi.499.2,sub-daily,6,1339775400000.0
386754,2012-06-15 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,19.34,edi.498.1,sub-daily,6,1339772400000.0
421549,2012-06-15 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.3,19.02,edi.498.1,sub-daily,6,1339772400000.0
456344,2012-06-15 10:00:00,43.3235,-72.0411,Newbury,1.2,19.37,edi.498.1,sub-daily,6,1339772400000.0
491139,2012-06-15 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.2,18.9,edi.498.1,sub-daily,6,1339772400000.0
