,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
82966,2009-10-21 10:00:00,43.3913,-72.0576,loon,1.0,11.02,edi.499.2,sub-daily,10,1256137200000.0
82967,2009-10-21 10:10:00,43.3913,-72.0576,loon,1.0,11.02,edi.499.2,sub-daily,10,1256137800000.0
82968,2009-10-21 10:20:00,43.3913,-72.0576,loon,1.0,11.02,edi.499.2,sub-daily,10,1256138400000.0
82969,2009-10-21 10:30:00,43.3913,-72.0576,loon,1.0,11.02,edi.499.2,sub-daily,10,1256139000000.0
82970,2009-10-21 10:40:00,43.3913,-72.0576,loon,1.0,11.08,edi.499.2,sub-daily,10,1256139600000.0
82971,2009-10-21 10:50:00,43.3913,-72.0576,loon,1.0,11.08,edi.499.2,sub-daily,10,1256140200000.0
