,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
15049,2016-10-24 10:15:00,43.3913,-72.0576,loon,1.5,13.845999999999998,edi.500.2,sub-daily,10,1477322100000.0
15050,2016-10-24 10:30:00,43.3913,-72.0576,loon,1.5,13.845999999999998,edi.500.2,sub-daily,10,1477323000000.0
15051,2016-10-24 10:45:00,43.3913,-72.0576,loon,1.5,13.942,edi.500.2,sub-daily,10,1477323900000.0
15052,2016-10-24 11:00:00,43.3913,-72.0576,loon,1.5,13.942,edi.500.2,sub-daily,10,1477324800000.0
268434,2016-10-24 10:10:00,43.3857,-72.0812,harbor,1.5,13.2,edi.499.2,sub-daily,10,1477321800000.0
268435,2016-10-24 10:20:00,43.3857,-72.0812,harbor,1.5,13.14,edi.499.2,sub-daily,10,1477322400000.0
268436,2016-10-24 10:30:00,43.3857,-72.0812,harbor,1.5,13.11,edi.499.2,sub-daily,10,1477323000000.0
268437,2016-10-24 10:40:00,43.3857,-72.0812,harbor,1.5,13.11,edi.499.2,sub-daily,10,1477323600000.0
268438,2016-10-24 10:50:00,43.3857,-72.0812,harbor,1.5,13.11,edi.499.2,sub-daily,10,1477324200000.0
268439,2016-10-24 11:00:00,43.3857,-72.0812,harbor,1.5,13.02,edi.499.2,sub-daily,10,1477324800000.0
