,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
61052,2008-09-16 09:50:00,43.3913,-72.0576,loon,0.5,19.5,edi.499.2,sub-daily,9,1221576600000.0
61053,2008-09-16 10:00:00,43.3913,-72.0576,loon,0.5,19.62,edi.499.2,sub-daily,9,1221577200000.0
61054,2008-09-16 10:10:00,43.3913,-72.0576,loon,0.5,19.62,edi.499.2,sub-daily,9,1221577800000.0
61055,2008-09-16 10:20:00,43.3913,-72.0576,loon,0.5,19.67,edi.499.2,sub-daily,9,1221578400000.0
61056,2008-09-16 10:30:00,43.3913,-72.0576,loon,0.5,19.81,edi.499.2,sub-daily,9,1221579000000.0
61057,2008-09-16 10:40:00,43.3913,-72.0576,loon,0.5,19.77,edi.499.2,sub-daily,9,1221579600000.0
374804,2008-09-16 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,18.86,edi.498.1,sub-daily,9,1221577200000.0
409599,2008-09-16 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,19.5,edi.498.1,sub-daily,9,1221577200000.0
444394,2008-09-16 10:00:00,43.3235,-72.0411,Newbury,1.5,19.37,edi.498.1,sub-daily,9,1221577200000.0
479189,2008-09-16 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,20.03,edi.498.1,sub-daily,9,1221577200000.0
