,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
163295,2012-09-19 10:00:00,43.3913,-72.0576,loon,0.5,19.259999999999994,edi.499.2,sub-daily,9,1348066800000.0
163296,2012-09-19 10:10:00,43.3913,-72.0576,loon,0.5,19.2,edi.499.2,sub-daily,9,1348067400000.0
163297,2012-09-19 10:20:00,43.3913,-72.0576,loon,0.5,19.2,edi.499.2,sub-daily,9,1348068000000.0
163298,2012-09-19 10:30:00,43.3913,-72.0576,loon,0.5,19.259999999999994,edi.499.2,sub-daily,9,1348068600000.0
163299,2012-09-19 10:40:00,43.3913,-72.0576,loon,0.5,19.259999999999994,edi.499.2,sub-daily,9,1348069200000.0
163300,2012-09-19 10:50:00,43.3913,-72.0576,loon,0.5,19.259999999999994,edi.499.2,sub-daily,9,1348069800000.0
389058,2012-09-19 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,19.34,edi.498.1,sub-daily,9,1348066800000.0
423853,2012-09-19 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.3,19.02,edi.498.1,sub-daily,9,1348066800000.0
458648,2012-09-19 10:00:00,43.3235,-72.0411,Newbury,1.2,18.88,edi.498.1,sub-daily,9,1348066800000.0
493443,2012-09-19 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.2,19.87,edi.498.1,sub-daily,9,1348066800000.0
