,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
92978,2010-06-18 10:00:00,43.3913,-72.0576,loon,1.0,17.779999999999994,edi.499.2,sub-daily,6,1276873200000.0
92979,2010-06-18 10:10:00,43.3913,-72.0576,loon,1.0,17.89,edi.499.2,sub-daily,6,1276873800000.0
92980,2010-06-18 10:20:00,43.3913,-72.0576,loon,1.0,17.959999999999994,edi.499.2,sub-daily,6,1276874400000.0
92981,2010-06-18 10:30:00,43.3913,-72.0576,loon,1.0,18.08,edi.499.2,sub-daily,6,1276875000000.0
92982,2010-06-18 10:40:00,43.3913,-72.0576,loon,1.0,18.14,edi.499.2,sub-daily,6,1276875600000.0
92983,2010-06-18 10:50:00,43.3913,-72.0576,loon,1.0,18.24,edi.499.2,sub-daily,6,1276876200000.0
381235,2010-06-18 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,17.24,edi.498.1,sub-daily,6,1276873200000.0
416030,2010-06-18 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,17.41,edi.498.1,sub-daily,6,1276873200000.0
450825,2010-06-18 10:00:00,43.3235,-72.0411,Newbury,1.5,17.43,edi.498.1,sub-daily,6,1276873200000.0
485620,2010-06-18 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,17.77,edi.498.1,sub-daily,6,1276873200000.0
