,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
59901,2008-09-08 10:00:00,43.3913,-72.0576,loon,0.5,21.06,edi.499.2,sub-daily,9,1220886000000.0
59902,2008-09-08 10:10:00,43.3913,-72.0576,loon,0.5,21.130000000000006,edi.499.2,sub-daily,9,1220886600000.0
59903,2008-09-08 10:20:00,43.3913,-72.0576,loon,0.5,21.16,edi.499.2,sub-daily,9,1220887200000.0
59904,2008-09-08 10:30:00,43.3913,-72.0576,loon,0.5,21.19,edi.499.2,sub-daily,9,1220887800000.0
59905,2008-09-08 10:40:00,43.3913,-72.0576,loon,0.5,21.14,edi.499.2,sub-daily,9,1220888400000.0
59906,2008-09-08 10:50:00,43.3913,-72.0576,loon,0.5,21.130000000000006,edi.499.2,sub-daily,9,1220889000000.0
374612,2008-09-08 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.97,edi.498.1,sub-daily,9,1220886000000.0
409407,2008-09-08 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,20.96,edi.498.1,sub-daily,9,1220886000000.0
444202,2008-09-08 10:00:00,43.3235,-72.0411,Newbury,1.5,20.99,edi.498.1,sub-daily,9,1220886000000.0
478997,2008-09-08 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.34,edi.498.1,sub-daily,9,1220886000000.0
