,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
4313,2014-11-28 10:15:00,43.3913,-72.0576,loon,1.5,5.45,edi.500.2,sub-daily,11,1417187700000.0
4314,2014-11-28 10:30:00,43.3913,-72.0576,loon,1.5,5.45,edi.500.2,sub-daily,11,1417188600000.0
4315,2014-11-28 10:45:00,43.3913,-72.0576,loon,1.5,5.5520000000000005,edi.500.2,sub-daily,11,1417189500000.0
4316,2014-11-28 11:00:00,43.3913,-72.0576,loon,1.5,5.5520000000000005,edi.500.2,sub-daily,11,1417190400000.0
223062,2014-11-28 10:10:00,43.3857,-72.0812,harbor,1.5,5.3,edi.499.2,sub-daily,11,1417187400000.0
223063,2014-11-28 10:20:00,43.3857,-72.0812,harbor,1.5,5.29,edi.499.2,sub-daily,11,1417188000000.0
223064,2014-11-28 10:30:00,43.3857,-72.0812,harbor,1.5,5.29,edi.499.2,sub-daily,11,1417188600000.0
223065,2014-11-28 10:40:00,43.3857,-72.0812,harbor,1.5,5.3,edi.499.2,sub-daily,11,1417189200000.0
223066,2014-11-28 10:50:00,43.3857,-72.0812,harbor,1.5,5.29,edi.499.2,sub-daily,11,1417189800000.0
223067,2014-11-28 11:00:00,43.3857,-72.0812,harbor,1.5,5.31,edi.499.2,sub-daily,11,1417190400000.0
