,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
237000,2015-09-04 10:10:00,43.3913,-72.0576,loon,1.5,23.75,edi.499.2,sub-daily,9,1441379400000.0
237001,2015-09-04 10:15:00,43.3913,-72.0576,loon,0.5,24.062,edi.499.2,sub-daily,9,1441379700000.0
237002,2015-09-04 10:20:00,43.3913,-72.0576,loon,1.5,23.73,edi.499.2,sub-daily,9,1441380000000.0
237003,2015-09-04 10:30:00,43.3913,-72.0576,loon,0.5,24.062,edi.499.2,sub-daily,9,1441380600000.0
237004,2015-09-04 10:40:00,43.3913,-72.0576,loon,1.5,23.77,edi.499.2,sub-daily,9,1441381200000.0
237005,2015-09-04 10:45:00,43.3913,-72.0576,loon,0.5,24.062,edi.499.2,sub-daily,9,1441381500000.0
237006,2015-09-04 10:50:00,43.3913,-72.0576,loon,1.5,23.779999999999994,edi.499.2,sub-daily,9,1441381800000.0
237007,2015-09-04 11:00:00,43.3913,-72.0576,loon,0.5,24.062,edi.499.2,sub-daily,9,1441382400000.0
397275,2015-09-04 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,23.32,edi.498.1,sub-daily,9,1441382400000.0
432070,2015-09-04 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,23.83,edi.498.1,sub-daily,9,1441382400000.0
466865,2015-09-04 11:00:00,43.3235,-72.0411,Newbury,1.5,24.37,edi.498.1,sub-daily,9,1441382400000.0
501660,2015-09-04 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,23.48,edi.498.1,sub-daily,9,1441382400000.0
