,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
50685,2008-07-06 10:00:00,43.3913,-72.0576,loon,0.5,22.81,edi.499.2,sub-daily,7,1215356400000.0
50686,2008-07-06 10:10:00,43.3913,-72.0576,loon,0.5,22.94,edi.499.2,sub-daily,7,1215357000000.0
50687,2008-07-06 10:20:00,43.3913,-72.0576,loon,0.5,23.19,edi.499.2,sub-daily,7,1215357600000.0
50688,2008-07-06 10:30:00,43.3913,-72.0576,loon,0.5,23.14,edi.499.2,sub-daily,7,1215358200000.0
50689,2008-07-06 10:40:00,43.3913,-72.0576,loon,0.5,23.27,edi.499.2,sub-daily,7,1215358800000.0
50690,2008-07-06 10:50:00,43.3913,-72.0576,loon,0.5,23.39,edi.499.2,sub-daily,7,1215359400000.0
373076,2008-07-06 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,22.47,edi.498.1,sub-daily,7,1215356400000.0
407871,2008-07-06 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,21.96,edi.498.1,sub-daily,7,1215356400000.0
442666,2008-07-06 10:00:00,43.3235,-72.0411,Newbury,1.5,21.66,edi.498.1,sub-daily,7,1215356400000.0
477461,2008-07-06 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,22.84,edi.498.1,sub-daily,7,1215356400000.0
