,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
187001,2013-08-05 10:00:00,43.3913,-72.0576,loon,0.5,22.279999999999994,edi.499.2,sub-daily,8,1375714800000.0
187002,2013-08-05 10:10:00,43.3913,-72.0576,loon,0.5,22.279999999999994,edi.499.2,sub-daily,8,1375715400000.0
187003,2013-08-05 10:20:00,43.3913,-72.0576,loon,0.5,22.279999999999994,edi.499.2,sub-daily,8,1375716000000.0
187004,2013-08-05 10:30:00,43.3913,-72.0576,loon,0.5,22.279999999999994,edi.499.2,sub-daily,8,1375716600000.0
187005,2013-08-05 10:40:00,43.3913,-72.0576,loon,0.5,22.279999999999994,edi.499.2,sub-daily,8,1375717200000.0
187006,2013-08-05 10:50:00,43.3913,-72.0576,loon,0.5,22.279999999999994,edi.499.2,sub-daily,8,1375717800000.0
391019,2013-08-05 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,22.48,edi.498.1,sub-daily,8,1375714800000.0
425814,2013-08-05 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,22.15,edi.498.1,sub-daily,8,1375714800000.0
460609,2013-08-05 10:00:00,43.3235,-72.0411,Newbury,1.4,22.33,edi.498.1,sub-daily,8,1375714800000.0
