,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
227613,2015-07-10 10:10:00,43.3913,-72.0576,loon,1.5,22.01,edi.499.2,sub-daily,7,1436541000000.0
227614,2015-07-10 10:20:00,43.3913,-72.0576,loon,1.5,22.02,edi.499.2,sub-daily,7,1436541600000.0
227615,2015-07-10 10:30:00,43.3913,-72.0576,loon,1.5,22.05,edi.499.2,sub-daily,7,1436542200000.0
227616,2015-07-10 10:40:00,43.3913,-72.0576,loon,1.5,22.04,edi.499.2,sub-daily,7,1436542800000.0
227617,2015-07-10 10:50:00,43.3913,-72.0576,loon,1.5,22.05,edi.499.2,sub-daily,7,1436543400000.0
227618,2015-07-10 11:00:00,43.3913,-72.0576,loon,1.5,22.11000000000001,edi.499.2,sub-daily,7,1436544000000.0
395931,2015-07-10 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,21.81,edi.498.1,sub-daily,7,1436544000000.0
430726,2015-07-10 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,21.32,edi.498.1,sub-daily,7,1436544000000.0
465521,2015-07-10 11:00:00,43.3235,-72.0411,Newbury,1.5,21.16,edi.498.1,sub-daily,7,1436544000000.0
500316,2015-07-10 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,22.130000000000006,edi.498.1,sub-daily,7,1436544000000.0
