,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
30169,2007-09-14 10:00:00,43.3913,-72.0576,loon,0.5,19.56,edi.499.2,sub-daily,9,1189782000000.0
30170,2007-09-14 10:10:00,43.3913,-72.0576,loon,0.5,19.56,edi.499.2,sub-daily,9,1189782600000.0
30171,2007-09-14 10:20:00,43.3913,-72.0576,loon,0.5,19.62,edi.499.2,sub-daily,9,1189783200000.0
30172,2007-09-14 10:30:00,43.3913,-72.0576,loon,0.5,19.62,edi.499.2,sub-daily,9,1189783800000.0
30173,2007-09-14 10:40:00,43.3913,-72.0576,loon,0.5,19.62,edi.499.2,sub-daily,9,1189784400000.0
30174,2007-09-14 10:50:00,43.3913,-72.0576,loon,0.5,19.66,edi.499.2,sub-daily,9,1189785000000.0
372480,2007-09-14 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,19.18,edi.498.1,sub-daily,9,1189782000000.0
407275,2007-09-14 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,19.18,edi.498.1,sub-daily,9,1189782000000.0
442070,2007-09-14 10:00:00,43.3235,-72.0411,Newbury,1.5,19.37,edi.498.1,sub-daily,9,1189782000000.0
476865,2007-09-14 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,19.71,edi.498.1,sub-daily,9,1189782000000.0
