,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
58748,2008-08-31 09:50:00,43.3913,-72.0576,loon,0.5,20.91,edi.499.2,sub-daily,8,1220194200000.0
58749,2008-08-31 10:00:00,43.3913,-72.0576,loon,0.5,20.94,edi.499.2,sub-daily,8,1220194800000.0
58750,2008-08-31 10:10:00,43.3913,-72.0576,loon,0.5,20.94,edi.499.2,sub-daily,8,1220195400000.0
58751,2008-08-31 10:20:00,43.3913,-72.0576,loon,0.5,20.95,edi.499.2,sub-daily,8,1220196000000.0
58752,2008-08-31 10:30:00,43.3913,-72.0576,loon,0.5,20.97,edi.499.2,sub-daily,8,1220196600000.0
58753,2008-08-31 10:40:00,43.3913,-72.0576,loon,0.5,21.0,edi.499.2,sub-daily,8,1220197200000.0
374420,2008-08-31 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.64,edi.498.1,sub-daily,8,1220194800000.0
409215,2008-08-31 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,20.96,edi.498.1,sub-daily,8,1220194800000.0
444010,2008-08-31 10:00:00,43.3235,-72.0411,Newbury,1.5,21.33,edi.498.1,sub-daily,8,1220194800000.0
478805,2008-08-31 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.84,edi.498.1,sub-daily,8,1220194800000.0
