,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
5177,2015-05-07 10:15:00,43.3913,-72.0576,loon,1.5,10.845999999999998,edi.500.2,sub-daily,5,1431011700000.0
5178,2015-05-07 10:30:00,43.3913,-72.0576,loon,1.5,10.845999999999998,edi.500.2,sub-daily,5,1431012600000.0
5179,2015-05-07 10:45:00,43.3913,-72.0576,loon,1.5,10.845999999999998,edi.500.2,sub-daily,5,1431013500000.0
5180,2015-05-07 11:00:00,43.3913,-72.0576,loon,1.5,10.845999999999998,edi.500.2,sub-daily,5,1431014400000.0
