,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
76054,2009-09-03 10:00:00,43.3913,-72.0576,loon,1.0,20.83,edi.499.2,sub-daily,9,1251990000000.0
76055,2009-09-03 10:10:00,43.3913,-72.0576,loon,1.0,20.87,edi.499.2,sub-daily,9,1251990600000.0
76056,2009-09-03 10:20:00,43.3913,-72.0576,loon,1.0,21.0,edi.499.2,sub-daily,9,1251991200000.0
76057,2009-09-03 10:30:00,43.3913,-72.0576,loon,1.0,21.01,edi.499.2,sub-daily,9,1251991800000.0
76058,2009-09-03 10:40:00,43.3913,-72.0576,loon,1.0,21.09,edi.499.2,sub-daily,9,1251992400000.0
76059,2009-09-03 10:50:00,43.3913,-72.0576,loon,1.0,21.23,edi.499.2,sub-daily,9,1251993000000.0
379843,2009-09-03 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.32,edi.498.1,sub-daily,9,1251990000000.0
379844,2009-09-03 10:30:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.48,edi.498.1,sub-daily,9,1251991800000.0
414638,2009-09-03 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,20.79,edi.498.1,sub-daily,9,1251990000000.0
414639,2009-09-03 10:30:00,43.3446,-72.0438,SouthOfTheFells,1.5,20.79,edi.498.1,sub-daily,9,1251991800000.0
449433,2009-09-03 10:00:00,43.3235,-72.0411,Newbury,1.5,21.16,edi.498.1,sub-daily,9,1251990000000.0
449434,2009-09-03 10:30:00,43.3235,-72.0411,Newbury,1.5,21.33,edi.498.1,sub-daily,9,1251991800000.0
484228,2009-09-03 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.34,edi.498.1,sub-daily,9,1251990000000.0
484229,2009-09-03 10:30:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.17,edi.498.1,sub-daily,9,1251991800000.0
