,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
327584,2019-07-29 10:10:00,43.3913,-72.0576,loon,1.5,25.63000000000001,edi.499.2,sub-daily,7,1564413000000.0
327585,2019-07-29 10:20:00,43.3913,-72.0576,loon,1.5,25.69,edi.499.2,sub-daily,7,1564413600000.0
327586,2019-07-29 10:30:00,43.3913,-72.0576,loon,1.5,25.81000000000001,edi.499.2,sub-daily,7,1564414200000.0
327587,2019-07-29 10:40:00,43.3913,-72.0576,loon,1.5,25.93,edi.499.2,sub-daily,7,1564414800000.0
327588,2019-07-29 10:50:00,43.3913,-72.0576,loon,1.5,26.03,edi.499.2,sub-daily,7,1564415400000.0
327589,2019-07-29 11:00:00,43.3913,-72.0576,loon,1.5,26.02,edi.499.2,sub-daily,7,1564416000000.0
563184,2019-07-29 11:00:00,43.4039,-72.0438,200,0.5,25.3,LSPA LMP,monthly,7,1564416000000.0
563350,2019-07-29 11:00:00,43.3844,-72.0624,210,0.4,25.1,LSPA LMP,monthly,7,1564416000000.0
563501,2019-07-29 11:00:00,43.3602,-72.0551,220,0.4,26.0,LSPA LMP,monthly,7,1564416000000.0
563667,2019-07-29 11:00:00,43.3359,-72.0422,230,0.5,25.9,LSPA LMP,monthly,7,1564416000000.0
