,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
90674,2010-06-02 10:00:00,43.3913,-72.0576,loon,1.0,19.07,edi.499.2,sub-daily,6,1275490800000.0
90675,2010-06-02 10:10:00,43.3913,-72.0576,loon,1.0,19.150000000000006,edi.499.2,sub-daily,6,1275491400000.0
90676,2010-06-02 10:20:00,43.3913,-72.0576,loon,1.0,19.23,edi.499.2,sub-daily,6,1275492000000.0
90677,2010-06-02 10:30:00,43.3913,-72.0576,loon,1.0,19.32,edi.499.2,sub-daily,6,1275492600000.0
90678,2010-06-02 10:40:00,43.3913,-72.0576,loon,1.0,19.4,edi.499.2,sub-daily,6,1275493200000.0
90679,2010-06-02 10:50:00,43.3913,-72.0576,loon,1.0,19.459999999999994,edi.499.2,sub-daily,6,1275493800000.0
380851,2010-06-02 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,18.37,edi.498.1,sub-daily,6,1275490800000.0
415646,2010-06-02 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,19.5,edi.498.1,sub-daily,6,1275490800000.0
450441,2010-06-02 10:00:00,43.3235,-72.0411,Newbury,1.5,20.02,edi.498.1,sub-daily,6,1275490800000.0
485236,2010-06-02 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,19.38,edi.498.1,sub-daily,6,1275490800000.0
