"LSmission","C1","C2","perc_change_C1_C2","kurtosis","none","perc_change_kurt"
"LS 4",3,4,33.3,2,4,-50
"LS 5",159,174,9.4,130,174,-25.3
"LS 7",99,127,28.3,112,127,-11.8
"LS 8",41,45,9.8,34,45,-24.4
